aug_bets,aug_roi,bets,ev_max,ev_min,family,hit_rate,hits,l1,l2,largest,max_odds,maxdd,min_odds,profit,ranks,roi,selector,sep_bets,sep_l1,sep_roi
482,67.69709543568464,627,,,fixed_ranks,6.8580542264752795,43,70.17571884984025,65.36,5090.0,,20000.0,,-13680.0,1,78.18181818181819,,145,78.47222222222223,113.03448275862068
482,89.41908713692946,627,,,fixed_ranks,5.103668261562999,32,57.68370607028754,52.48,10440.0,,16440.0,,-16150.0,2,74.24242424242425,,145,16.944444444444443,23.79310344827586
964,78.55809128630706,1254,,,fixed_ranks,5.980861244019139,75,67.94094173982442,63.9297124600639,10440.0,,32280.0,,-29830.0,"1,2",76.21212121212122,,290,51.03806228373703,68.41379310344827
482,85.10373443983403,627,,,fixed_ranks,3.508771929824561,22,61.054313099041536,51.44,10540.0,,20250.0,,-13940.0,3,77.76714513556618,,145,28.125,53.37931034482759
964,76.40041493775934,1254,,,fixed_ranks,5.18341307814992,65,69.62490023942537,64.83226837060703,10540.0,,30470.0,,-27620.0,"1,3",77.97448165869218,,290,65.88235294117646,83.20689655172414
964,87.26141078838174,1254,,,fixed_ranks,4.30622009569378,54,67.6536312849162,59.36900958466454,10540.0,,33870.0,,-30090.0,"2,3",76.00478468899522,,290,25.951557093425606,38.58620689655172
1446,80.73997233748271,1881,,,fixed_ranks,5.156831472620946,97,71.16489361702128,65.64662054284194,10540.0,,44530.0,,-43770.0,"1,2,3",76.73046251993621,,435,51.82027649769585,63.40229885057471
482,125.93360995850622,627,,,fixed_ranks,4.30622009569378,27,98.94568690095846,74.144,16330.0,,13010.0,,15570.0,4,124.83253588516746,,145,13.680555555555555,121.17241379310344
964,96.81535269709543,1254,,,fixed_ranks,5.582137161084529,70,88.55546687948923,76.16613418530352,16330.0,,26000.0,,1890.0,"1,4",101.50717703349282,,290,63.529411764705884,117.10344827586206
964,107.67634854771784,1254,,,fixed_ranks,4.704944178628389,59,86.58419792498005,74.19329073482429,16330.0,,18410.0,,-580.0,"2,4",99.53748006379585,,290,18.75432525951557,72.48275862068965
1446,94.34993084370677,1881,,,fixed_ranks,5.422647527910685,102,83.78191489361703,75.52421500798297,16330.0,,30800.0,,-14260.0,"1,2,4",92.41892610313663,,435,50.25345622119816,86.0
964,105.51867219917013,1254,,,fixed_ranks,3.9074960127591707,49,88.34796488427773,75.95846645367412,16330.0,,20200.0,,1630.0,"3,4",101.29984051036682,,290,33.59861591695502,87.27586206896552
1446,92.91147994467497,1881,,,fixed_ranks,4.891015417331206,92,84.95744680851064,76.70037253858435,16330.0,,28690.0,,-12050.0,"1,3,4",93.59383306751728,,435,60.13824884792627,95.86206896551724
1446,100.15214384508991,1881,,,fixed_ranks,4.30622009569378,81,83.6436170212766,75.38584353379457,16330.0,,28490.0,,-14520.0,"2,3,4",92.28070175438596,,435,30.322580645161292,66.11494252873563
1928,92.0383817427386,2508,,,fixed_ranks,4.944178628389155,124,82.27762265656163,76.0853950518755,16330.0,,33730.0,,-28200.0,"1,2,3,4",88.75598086124401,,580,51.03626943005181,77.84482758620689
482,166.82572614107883,627,,,fixed_ranks,7.017543859649122,44,99.88817891373802,87.744,28600.0,,10600.0,,28430.0,5,145.34290271132377,,145,60.90277777777778,73.93103448275862
964,117.26141078838174,1254,,,fixed_ranks,6.937799043062201,87,89.02633679169992,82.95527156549521,28600.0,,17640.0,,14750.0,"1,5",111.76236044657097,,290,76.19377162629758,93.48275862068965
964,128.12240663900414,1254,,,fixed_ranks,6.0606060606060606,76,87.05506783719075,78.78594249201278,28600.0,,21730.0,,12280.0,"2,5",109.792663476874,,290,42.28373702422145,48.86206896551724
1446,107.98063623789764,1881,,,fixed_ranks,6.3264221158958005,119,84.09574468085107,78.58435337945716,28600.0,,28740.0,,-1400.0,"1,2,5",99.25571504518872,,435,58.68663594470046,70.25287356321839
964,125.96473029045643,1254,,,fixed_ranks,5.2631578947368425,66,88.81883479648843,80.47124600638978,28600.0,,15710.0,,14490.0,"3,5",111.55502392344498,,290,51.10726643598616,63.6551724137931
1446,106.54218533886583,1881,,,fixed_ranks,5.7947900053163215,109,85.27127659574468,79.70729111229377,28600.0,,24280.0,,810.0,"1,3,5",100.43062200956938,,435,68.57142857142857,80.11494252873563
1446,113.78284923928078,1881,,,fixed_ranks,5.209994683678894,98,83.95744680851064,78.392762107504,28600.0,,27400.0,,-1660.0,"2,3,5",99.11749069643807,,435,41.9815668202765,50.367816091954026
