race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608010108,2026-08-01,1-2-6,5-4-3,3,481.3,0.026675790991706878,12.83905820430852,False,0,9.559267716666666
202608010608,2026-08-01,4-3-1,2-1-3,9,100.8,0.03458061515046404,3.485726007166775,False,0,8.668549533333334
202608010611,2026-08-01,5-4-6,2-1-3,2,86.1,0.05530180620052669,4.761485513865347,False,0,9.58792085
202608011108,2026-08-01,1-2-3,3-1-6,9,105.2,0.03323384989331264,3.49620100877649,False,0,9.671014716666667
202608011303,2026-08-01,2-6-3,3-1-4,2,189.3,0.055299496126560065,10.46819461675782,False,0,9.59471725
202608011308,2026-08-01,4-6-5,4-3-6,7,435.4,0.02373206608939365,10.332941575321994,False,0,8.703563566666666
202608011603,2026-08-01,5-4-1,3-1-5,3,128.2,0.03884075725247605,4.979385079767429,False,0,9.596729833333335
202608012003,2026-08-01,1-5-6,4-5-3,3,190.9,0.02667512277687425,5.0922809381052945,False,0,9.65500035
202608012008,2026-08-01,1-3-2,1-4-2,10,143.5,0.03129043849854248,4.490177924540846,False,0,8.588516133333334
202608012202,2026-08-01,1-3-4,2-1-6,9,447.0,0.0336613128459145,15.04660684212378,False,0,8.660626033333333
202608012206,2026-08-01,1-2-4,2-1-5,4,109.1,0.05172044128965117,5.642700144700942,False,0,8.671617683333332
202608020504,2026-08-02,3-2-5,2-1-6,9,273.4,0.0336613198391506,9.203004844023774,False,0,9.660692500000001
202608020510,2026-08-02,1-2-4,2-1-5,9,82.6,0.0359433657204746,2.968922008511202,False,0,8.479193983333333
202608021306,2026-08-02,1-3-4,2-1-4,3,180.5,0.04750085866003118,8.573904988135629,False,0,9.474513533333333
202608021601,2026-08-02,3-6-1,4-5-2,3,959.2,0.02728064821274445,26.16759776566448,False,0,8.630773933333334
202608022208,2026-08-02,3-1-6,3-1-5,7,98.6,0.03852412260599571,3.798478488951177,False,0,9.63422885
202608022302,2026-08-02,1-3-2,2-1-3,5,76.8,0.04450335123315493,3.4178573747062986,False,0,9.255354533333334
202608030407,2026-08-03,5-2-1,2-1-3,4,61.1,0.04785851489900697,2.924155260329326,False,0,9.62617575
202608030503,2026-08-03,1-3-2,3-1-6,9,315.3,0.035584858063657576,11.219905747471234,False,0,8.59048105
202608030610,2026-08-03,3-1-4,2-1-3,2,269.9,0.05530181027678606,14.925958593704555,False,0,9.54400185
202608030807,2026-08-03,1-3-2,2-1-5,4,307.8,0.04845701532574685,14.915069317264882,False,0,9.63575835
202608031302,2026-08-03,2-3-1,3-2-6,10,294.1,0.03374032786130415,9.92303042400955,False,0,8.53792675
202608031307,2026-08-03,2-3-5,1-3-6,6,132.8,0.04144236612849187,5.503546221863721,False,0,9.40397825
202608031902,2026-08-03,4-1-5,4-5-2,3,200.3,0.026680512483954276,5.344106650536042,False,0,9.59988995
202608031904,2026-08-03,1-2-4,3-1-2,7,143.5,0.03897446621667933,5.5928359020934835,False,0,9.538779966666668
202608031907,2026-08-03,3-4-5,2-1-4,3,144.5,0.05013608577425732,7.244664394380183,False,0,6.687908983333333
202608032202,2026-08-03,1-4-3,3-1-6,9,129.8,0.03323386009991525,4.313755040968999,False,0,9.652135816666666
202608040404,2026-08-04,2-4-5,6-4-1,10,544.1,0.016272700010814267,8.853976075884043,False,0,9.664756916666667
